Active,Active(anon),Active(file),AnonHugePages,AnonPages,Bounce,Buffers,Cached,CommitLimit,Committed_AS,DirectMap1G,DirectMap2M,DirectMap4k,Dirty,HardwareCorrupted,HugePages_Free,HugePages_Rsvd,HugePages_Surp,HugePages_Total,Hugepagesize,Inactive,Inactive(anon),Inactive(file),KernelStack,Mapped,MemFree,MemTotal,Mlocked,NFS_Unstable,PageTables,SReclaimable,SUnreclaim,Shmem,Slab,SwapCached,SwapFree,SwapTotal,Unevictable,VmallocChunk,VmallocTotal,VmallocUsed,Writeback,WritebackTmp,time
25778608,1896632,23881976,0,2244640,0,1136664,64750280,163302556,4481164,262144000,6107136,138176,592,0,0,0,0,0,2048,42333792,333768,42000024,6416,42568,191399836,264108356,31372,0,25656,2733028,136488,172,2869516,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111771.622638
25980508,2086012,23894496,0,2434016,0,1136664,64750304,163302556,4670744,262144000,6107136,138176,616,0,0,0,0,0,2048,42321328,333768,41987560,6416,42568,191210052,264108356,31372,0,25920,2733028,136488,172,2869516,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111772.634579
26110296,2202100,23908196,0,2550120,0,1136664,64750304,163302556,4786952,262144000,6107136,138176,596,0,0,0,0,0,2048,42307628,333768,41973860,6416,42568,191094556,264108356,31372,0,26252,2733028,136488,172,2869516,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111773.646497
26256104,2334008,23922096,0,2682220,0,1136664,64750304,163302556,4918816,262144000,6107136,138176,596,0,0,0,0,0,2048,42293728,333768,41959960,6416,42568,190962548,264108356,31372,0,26504,2733028,136488,172,2869516,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111774.658381
26402320,2466560,23935760,0,2814924,0,1136664,64750304,163302556,5051640,262144000,6107136,138176,600,0,0,0,0,0,2048,42280064,333768,41946296,6416,42568,190829496,264108356,31372,0,26760,2733028,136488,172,2869516,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111775.670292
26550264,2600380,23949884,0,2948144,0,1136664,64750320,163302556,5184256,262144000,6107136,138176,616,0,0,0,0,0,2048,42265940,333768,41932172,6416,42568,190695932,264108356,30768,0,27020,2733028,136488,172,2869516,14376,30411152,31248380,30564,34156673340,34359738367,692700,0,0,1430111776.682234
26698232,2734628,23963604,0,3082428,0,1136664,64750320,163302556,5318816,262144000,6107136,138176,608,0,0,0,0,0,2048,42252220,333768,41918452,6416,42568,190561392,264108356,30768,0,27276,2733028,136488,172,2869516,14376,30411152,31248380,30564,34156673340,34359738367,692700,0,0,1430111777.694163
26846400,2869076,23977324,0,3216444,0,1136664,64750320,163302556,5452868,262144000,6107136,138176,436,0,0,0,0,0,2048,42238500,333768,41904732,6416,42568,190426852,264108356,30768,0,27536,2733028,136488,172,2869516,14376,30411152,31248380,30564,34156673340,34359738367,692700,0,0,1430111778.706057
27068996,3079620,23989376,0,3427100,0,1136664,64750320,163302556,5663240,262144000,6107136,138176,432,0,0,0,0,0,2048,42226476,333768,41892708,6416,42568,190216056,264108356,30768,0,27792,2733028,136488,172,2869516,14376,30411152,31248380,30564,34156673340,34359738367,692700,0,0,1430111779.717978
27217588,3214652,24002936,0,3562176,0,1136664,64750320,163302556,5798416,262144000,6107136,138176,432,0,0,0,0,0,2048,42212920,333768,41879152,6416,42568,190080528,264108356,30768,0,28204,2733028,136488,172,2869516,14376,30411152,31248380,30564,34156673340,34359738367,692700,0,0,1430111780.729896
